PORT,DESCRIPTION,STATUS,VLAN,DUPLEX,SPEED,TYPE,MODE,DATAVLAN,VOICEVLAN,ALLOWEDVLANS,NATIVEVLAN,PORTCHANNEL,PCMODE,OTHER,MAC_ADDRESS,IP,MACVLAN,MANAGEMENT_IP,DESTINATION_HOST,REMOTE_PORT,MODEL
Gi1/1,*---Fiber to Service 3560 STack---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9-11,16,20,24,30,251-253,255,256,300,350",,33,active,"Building configuration...

Current configuration : 275 bytes
!
interface GigabitEthernet1/1
 description ---Fiber to Service 3560 STack---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,16,20,24,30,251-253,255,256,300,350
 switchport mode trunk
 no ip address
 channel-group 33 mode active
end
",,,,192.168.255.23,slw-svc-sw3560stack.hq.com,GigabitEthernet1/1/1,cisco WS-C3650-48PD
Gi1/2,*---- Fiber to Service 3560 ---*,notconnect,1,full,1000,1000BaseSX,trunk,,,"1,9-11,16,20,24,30,251-253,255,256,350",,,,"Building configuration...

Current configuration : 238 bytes
!
interface GigabitEthernet1/2
 description ---- Fiber to Service 3560 ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,16,20,24,30,251-253,255,256,350
 switchport mode trunk
 no ip address
end
",,,,,,,
Gi1/3,*--- Body Shop Building ---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9-11,14,20,21,24,30,251,255,256,350,901-4094",,3,active,"Building configuration...

Current configuration : 294 bytes
!
interface GigabitEthernet1/3
 description --- Body Shop Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,14,20,21,24,30,251,255,256,350,901-4094
 switchport mode trunk
 no ip address
 channel-protocol lacp
 channel-group 3 mode active
end
",,,,192.168.255.14,BodyShop-3560E.etruckcenter.com,GigabitEthernet0/50,cisco WS-C3560E-48PD
Gi1/4,*--- Body Shop Building ---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9-11,14,20,21,24,30,251,255,256,350,901-4094",,3,active,"Building configuration...

Current configuration : 294 bytes
!
interface GigabitEthernet1/4
 description --- Body Shop Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,14,20,21,24,30,251,255,256,350,901-4094
 switchport mode trunk
 no ip address
 channel-protocol lacp
 channel-group 3 mode active
end
",,,,192.168.255.14,BodyShop-3560E.etruckcenter.com,GigabitEthernet0/49,cisco WS-C3560E-48PD
Gi1/5,*--- Tank Building ---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9,10,20,24,251-253,255,256,350",,4,active,"Building configuration...

Current configuration : 275 bytes
!
interface GigabitEthernet1/5
 description --- Tank Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9,10,20,24,251-253,255,256,350
 switchport mode trunk
 no ip address
 channel-protocol lacp
 channel-group 4 mode active
end
",,,,192.168.255.22,wfs_3650sw_stack.hq.com,GigabitEthernet1/1/1,cisco WS-C3650-48PD
Gi1/6,*--- Tank Building ---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9,10,20,24,251-253,255,256,350",,4,active,"Building configuration...

Current configuration : 275 bytes
!
interface GigabitEthernet1/6
 description --- Tank Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9,10,20,24,251-253,255,256,350
 switchport mode trunk
 no ip address
 channel-protocol lacp
 channel-group 4 mode active
end
",,,,192.168.255.22,wfs_3650sw_stack.hq.com,GigabitEthernet1/1/2,cisco WS-C3650-48PD
Gi1/7,,connected,trunk,full,1000,1000BaseSX,,,,"1,9,16,20,24,30,255,256,350",,,,"Building configuration...

Current configuration : 122 bytes
!
interface GigabitEthernet1/7
 switchport
 switchport trunk allowed vlan 1,9,16,20,24,30,255,256,350
 no ip address
end
","0023.68c9.7201
1c39.472f.0552
0022.ee02.15bc
6c41.6a48.8d86
68f7.284f.4eb1
accc.8e3f.40e9
7010.5c5e.116f
0800.1fb3.11c0
0007.4d4e.24ca
0022.ee02.15b7
d8cb.8ad9.c27e
705a.0f14.4372
accc.8e26.7fca
c47d.cc17.7da4
4403.a781.0300
00e1.6dba.7cc4
0026.186a.40c0
58ac.784d.89c4
d0c7.8914.dfc6
0023.2456.3238
7c95.f3d2.0cc1
a08c.fd17.356c
0023.2462.0e6c
705a.0f14.3371
0024.f749.4ec3
accc.8e26.dfca
4403.a781.169c
705a.0f14.3389
0023.2461.d3ee
0001.6ccf.b606
fc4d.d4d7.9330
4403.a758.d32a
0023.2462.0e47
f866.f2d1.5f6c
d0c7.8915.37a7
20bb.c021.36a3
a08c.fd17.25f6
d0c7.8915.2a2b
58ac.784d.934c
90fb.a676.2708
e4c7.2286.ed71
d0c7.8915.2bfd
0040.9d24.5b36
d0c7.8915.2bfb
0057.d2d0.5cae
d8cb.8a61.d389
0015.7089.b85e","172.20.50.172
192.168.16.148
192.168.16.254
192.168.255.133
192.168.9.151
172.20.50.92
192.168.25.220
192.168.9.64
192.168.9.63
192.168.16.98
192.168.9.156
192.168.9.231
172.20.50.93
172.20.50.171
192.168.255.150
192.168.25.68
192.168.17.39
192.168.24.79
192.168.24.80
192.168.16.89
192.168.255.17
192.168.9.229
192.168.16.121
192.168.9.226
192.168.255.19
172.20.50.91
192.168.255.147
192.168.9.232
192.168.16.114
192.168.17.46
192.168.16.95
192.168.255.127
192.168.16.119
192.168.255.143
192.168.24.77
192.168.26.52
192.168.9.228
192.168.24.87
192.168.24.71
192.168.17.14
192.168.255.156
192.168.24.78
192.168.0.102
192.168.24.85
192.168.24.30
192.168.16.215
192.168.255.153
192.168.200.30","Vlan350
Vlan16
Vlan16
Vlan255
Vlan9
Vlan350
Vlan24
Vlan9
Vlan9
Vlan16
Vlan9
Vlan9
Vlan350
Vlan350
Vlan255
Vlan24
Vlan16
Vlan24
Vlan24
Vlan16
Vlan255
Vlan9
Vlan16
Vlan9
Vlan255
Vlan350
Vlan255
Vlan9
Vlan16
Vlan16
Vlan16
Vlan255
Vlan16
Vlan255
Vlan24
Vlan24
Vlan9
Vlan24
Vlan24
Vlan16
Vlan255
Vlan24
Vlan256
Vlan24
Vlan24
Vlan16
Vlan255
Vlan200",192.168.255.17,slcship.etruckcenter.com,GigabitEthernet1/0/50,cisco WS-C2960S-48LPD-L
Gi1/8,*---Fiber to Service 3560 Stack---*,connected,trunk,full,1000,1000BaseSX,trunk,,,"1,9-11,16,20,24,30,251-253,255,256,300,350",,33,active,"Building configuration...

Current configuration : 275 bytes
!
interface GigabitEthernet1/8
 description ---Fiber to Service 3560 Stack---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,16,20,24,30,251-253,255,256,300,350
 switchport mode trunk
 no ip address
 channel-group 33 mode active
end
",,,,192.168.255.23,slw-svc-sw3560stack.hq.com,GigabitEthernet1/1/2,cisco WS-C3650-48PD
Gi1/9,,notconnect,1,full,1000,1000BaseSX,trunk,,,,,1,active,"Building configuration...

Current configuration : 176 bytes
!
interface GigabitEthernet1/9
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
 channel-protocol lacp
 channel-group 1 mode active
end
",,,,,,,
Gi1/10,,notconnect,1,full,1000,1000BaseLH,,,,,,1,active,"Building configuration...

Current configuration : 154 bytes
!
interface GigabitEthernet1/10
 switchport
 switchport trunk encapsulation dot1q
 no ip address
 channel-protocol lacp
 channel-group 1 mode active
end
",,,,,,,
